smiles,bond_index,atom_type1,atom_type2,bde,bdfe
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],12,8,1,106.11490631103516,97.37496185302734
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],0,8,6,111.30440521240234,99.31333923339844
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],2,6,6,83.71283721923828,67.01419830322266
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],3,6,7,77.52308654785156,64.9591064453125
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],4,6,6,65.16680908203125,48.115509033203125
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],5,6,16,62.15727615356445,45.89161682128906
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],6,16,16,63.33385467529297,48.08789825439453
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],7,16,6,62.15727615356445,45.89161682128906
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],8,6,6,65.16680908203125,48.115509033203125
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],9,6,6,83.71283721923828,67.01419830322266
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],11,6,8,111.30440521240234,99.31333923339844
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],12,6,7,77.52308654785156,64.9591064453125
